,Year Mnth Day Hr,prcp(mm/day)
2842,1987 10 13 12,0.0
2843,1987 10 14 12,0.0
2844,1987 10 15 12,0.0
2845,1987 10 16 12,0.0
2846,1987 10 17 12,0.0
2847,1987 10 18 12,0.0
2848,1987 10 19 12,0.0
2849,1987 10 20 12,0.0
2850,1987 10 21 12,0.0
2851,1987 10 22 12,0.0
2852,1987 10 23 12,0.0
2853,1987 10 24 12,0.0
2854,1987 10 25 12,0.0
2855,1987 10 26 12,0.0
2856,1987 10 27 12,14.34
2857,1987 10 28 12,0.0
2858,1987 10 29 12,0.0
2859,1987 10 30 12,0.0
2860,1987 10 31 12,0.0
2861,1987 11 01 12,0.0
2862,1987 11 02 12,0.0
2863,1987 11 03 12,0.0
2864,1987 11 04 12,0.76
2865,1987 11 05 12,0.0
2866,1987 11 06 12,0.0
2867,1987 11 07 12,0.0
2868,1987 11 08 12,0.0
2869,1987 11 09 12,10.87
2870,1987 11 10 12,4.46
2871,1987 11 11 12,0.0
2872,1987 11 12 12,0.0
2873,1987 11 13 12,0.0
2874,1987 11 14 12,0.0
2875,1987 11 15 12,0.0
2876,1987 11 16 12,2.69
2877,1987 11 17 12,58.19
2878,1987 11 18 12,0.0
2879,1987 11 19 12,0.0
2880,1987 11 20 12,0.0
2881,1987 11 21 12,0.0
2882,1987 11 22 12,0.0
2883,1987 11 23 12,0.0
2884,1987 11 24 12,0.0
2885,1987 11 25 12,0.0
2886,1987 11 26 12,6.33
2887,1987 11 27 12,6.29
2888,1987 11 28 12,15.95
2889,1987 11 29 12,0.0
2890,1987 11 30 12,0.0
2891,1987 12 01 12,0.0
2892,1987 12 02 12,0.0
2893,1987 12 03 12,0.0
2894,1987 12 04 12,0.0
2895,1987 12 05 12,0.0
2896,1987 12 06 12,0.0
2897,1987 12 07 12,0.0
2898,1987 12 08 12,1.81
2899,1987 12 09 12,0.0
2900,1987 12 10 12,0.0
2901,1987 12 11 12,0.0
2902,1987 12 12 12,0.0
2903,1987 12 13 12,0.0
2904,1987 12 14 12,5.27
2905,1987 12 15 12,5.71
2906,1987 12 16 12,0.0
2907,1987 12 17 12,0.0
2908,1987 12 18 12,0.0
2909,1987 12 19 12,0.0
2910,1987 12 20 12,7.26
2911,1987 12 21 12,25.26
2912,1987 12 22 12,19.12
2913,1987 12 23 12,0.0
2914,1987 12 24 12,1.95
2915,1987 12 25 12,0.0
2916,1987 12 26 12,0.0
2917,1987 12 27 12,6.76
2918,1987 12 28 12,8.95
2919,1987 12 29 12,0.0
2920,1987 12 30 12,0.0
2921,1987 12 31 12,2.03
2922,1988 01 01 12,5.62
2923,1988 01 02 12,14.72
2924,1988 01 03 12,0.0
2925,1988 01 04 12,0.0
2926,1988 01 05 12,0.0
2927,1988 01 06 12,0.0
2928,1988 01 07 12,14.77
2929,1988 01 08 12,12.38
2930,1988 01 09 12,0.0
2931,1988 01 10 12,0.0
2932,1988 01 11 12,0.0
2933,1988 01 12 12,0.0
2934,1988 01 13 12,9.51
2935,1988 01 14 12,0.0
2936,1988 01 15 12,0.0
2937,1988 01 16 12,0.0
2938,1988 01 17 12,5.36
2939,1988 01 18 12,4.47
2940,1988 01 19 12,8.93
2941,1988 01 20 12,23.42
2942,1988 01 21 12,0.0
2943,1988 01 22 12,0.0
2944,1988 01 23 12,0.0
2945,1988 01 24 12,4.15
2946,1988 01 25 12,11.31
2947,1988 01 26 12,0.0
2948,1988 01 27 12,0.0
2949,1988 01 28 12,0.0
2950,1988 01 29 12,0.0
2951,1988 01 30 12,0.0
2952,1988 01 31 12,0.0
2953,1988 02 01 12,33.79
2954,1988 02 02 12,82.6
2955,1988 02 03 12,8.62
2956,1988 02 04 12,13.52
2957,1988 02 05 12,12.04
2958,1988 02 06 12,15.15
2959,1988 02 07 12,0.0
2960,1988 02 08 12,0.0
2961,1988 02 09 12,0.0
2962,1988 02 10 12,0.0
2963,1988 02 11 12,4.62
2964,1988 02 12 12,6.82
2965,1988 02 13 12,0.0
2966,1988 02 14 12,0.0
2967,1988 02 15 12,39.53
2968,1988 02 16 12,0.0
2969,1988 02 17 12,5.68
2970,1988 02 18 12,38.41
2971,1988 02 19 12,52.22
2972,1988 02 20 12,0.0
2973,1988 02 21 12,0.0
2974,1988 02 22 12,0.0
2975,1988 02 23 12,0.0
2976,1988 02 24 12,4.59
2977,1988 02 25 12,0.0
2978,1988 02 26 12,0.0
2979,1988 02 27 12,0.0
2980,1988 02 28 12,0.0
2981,1988 02 29 12,0.0
2982,1988 03 01 12,0.0
2983,1988 03 02 12,0.0
2984,1988 03 03 12,51.28
2985,1988 03 04 12,12.33
2986,1988 03 05 12,0.0
2987,1988 03 06 12,0.0
2988,1988 03 07 12,0.0
2989,1988 03 08 12,4.5
2990,1988 03 09 12,21.5
2991,1988 03 10 12,17.26
2992,1988 03 11 12,0.0
2993,1988 03 12 12,0.0
2994,1988 03 13 12,0.0
2995,1988 03 14 12,0.0
2996,1988 03 15 12,0.0
2997,1988 03 16 12,0.0
2998,1988 03 17 12,0.0
2999,1988 03 18 12,27.53
3000,1988 03 19 12,0.0
3001,1988 03 20 12,0.0
3002,1988 03 21 12,0.0
3003,1988 03 22 12,0.0
3004,1988 03 23 12,0.0
3005,1988 03 24 12,1.5
3006,1988 03 25 12,23.46
3007,1988 03 26 12,52.56
3008,1988 03 27 12,0.0
3009,1988 03 28 12,0.0
3010,1988 03 29 12,0.0
3011,1988 03 30 12,35.58
3012,1988 03 31 12,28.76
3013,1988 04 01 12,18.08
3014,1988 04 02 12,96.29
3015,1988 04 03 12,5.12
3016,1988 04 04 12,0.0
3017,1988 04 05 12,0.0
3018,1988 04 06 12,11.08
3019,1988 04 07 12,0.0
3020,1988 04 08 12,0.0
3021,1988 04 09 12,0.0
3022,1988 04 10 12,0.0
3023,1988 04 11 12,1.0
3024,1988 04 12 12,0.0
3025,1988 04 13 12,0.0
3026,1988 04 14 12,0.0
3027,1988 04 15 12,0.0
3028,1988 04 16 12,0.0
3029,1988 04 17 12,0.0
3030,1988 04 18 12,14.29
3031,1988 04 19 12,14.82
3032,1988 04 20 12,0.0
3033,1988 04 21 12,0.0
3034,1988 04 22 12,0.0
3035,1988 04 23 12,0.0
3036,1988 04 24 12,0.0
3037,1988 04 25 12,0.0
3038,1988 04 26 12,0.0
3039,1988 04 27 12,0.0
3040,1988 04 28 12,0.0
3041,1988 04 29 12,0.0
3042,1988 04 30 12,5.68
3043,1988 05 01 12,0.0
3044,1988 05 02 12,0.0
3045,1988 05 03 12,0.0
3046,1988 05 04 12,0.0
3047,1988 05 05 12,0.0
3048,1988 05 06 12,0.0
3049,1988 05 07 12,0.0
3050,1988 05 08 12,0.0
3051,1988 05 09 12,0.0
3052,1988 05 10 12,0.0
3053,1988 05 11 12,2.49
3054,1988 05 12 12,0.0
3055,1988 05 13 12,0.0
3056,1988 05 14 12,0.0
3057,1988 05 15 12,0.0
3058,1988 05 16 12,0.0
3059,1988 05 17 12,0.0
3060,1988 05 18 12,0.0
3061,1988 05 19 12,0.0
3062,1988 05 20 12,0.0
3063,1988 05 21 12,0.0
3064,1988 05 22 12,19.03
3065,1988 05 23 12,4.56
3066,1988 05 24 12,0.0
3067,1988 05 25 12,11.74
3068,1988 05 26 12,0.0
3069,1988 05 27 12,0.0
3070,1988 05 28 12,0.0
3071,1988 05 29 12,0.0
3072,1988 05 30 12,0.0
3073,1988 05 31 12,0.0
3074,1988 06 01 12,0.0
3075,1988 06 02 12,0.0
3076,1988 06 03 12,0.0
3077,1988 06 04 12,0.0
3078,1988 06 05 12,24.79
3079,1988 06 06 12,6.54
3080,1988 06 07 12,4.73
3081,1988 06 08 12,0.0
3082,1988 06 09 12,0.0
3083,1988 06 10 12,9.39
3084,1988 06 11 12,0.0
3085,1988 06 12 12,0.0
3086,1988 06 13 12,0.0
3087,1988 06 14 12,0.0
3088,1988 06 15 12,0.0
3089,1988 06 16 12,0.0
3090,1988 06 17 12,0.0
3091,1988 06 18 12,0.0
3092,1988 06 19 12,7.92
3093,1988 06 20 12,9.13
3094,1988 06 21 12,8.27
3095,1988 06 22 12,23.24
3096,1988 06 23 12,14.5
3097,1988 06 24 12,6.99
3098,1988 06 25 12,9.93
3099,1988 06 26 12,7.57
3100,1988 06 27 12,0.0
3101,1988 06 28 12,0.0
3102,1988 06 29 12,0.0
3103,1988 06 30 12,0.0
3104,1988 07 01 12,0.0
3105,1988 07 02 12,0.0
3106,1988 07 03 12,0.0
3107,1988 07 04 12,13.04
3108,1988 07 05 12,15.43
3109,1988 07 06 12,21.24
3110,1988 07 07 12,18.32
3111,1988 07 08 12,0.0
3112,1988 07 09 12,0.0
3113,1988 07 10 12,7.69
3114,1988 07 11 12,8.93
3115,1988 07 12 12,0.0
3116,1988 07 13 12,0.0
3117,1988 07 14 12,0.0
3118,1988 07 15 12,0.0
3119,1988 07 16 12,0.09
3120,1988 07 17 12,15.6
3121,1988 07 18 12,24.6
3122,1988 07 19 12,21.19
3123,1988 07 20 12,6.0
3124,1988 07 21 12,5.8
3125,1988 07 22 12,17.27
3126,1988 07 23 12,13.16
3127,1988 07 24 12,0.0
3128,1988 07 25 12,0.0
3129,1988 07 26 12,0.0
3130,1988 07 27 12,0.0
3131,1988 07 28 12,0.0
3132,1988 07 29 12,0.0
3133,1988 07 30 12,0.0
3134,1988 07 31 12,0.0
3135,1988 08 01 12,0.0
3136,1988 08 02 12,0.0
3137,1988 08 03 12,0.0
3138,1988 08 04 12,0.0
3139,1988 08 05 12,0.0
3140,1988 08 06 12,4.62
3141,1988 08 07 12,4.36
3142,1988 08 08 12,4.91
3143,1988 08 09 12,29.92
3144,1988 08 10 12,25.69
3145,1988 08 11 12,9.0
3146,1988 08 12 12,2.02
3147,1988 08 13 12,10.88
3148,1988 08 14 12,0.0
3149,1988 08 15 12,0.0
3150,1988 08 16 12,10.83
3151,1988 08 17 12,14.4
3152,1988 08 18 12,22.58
3153,1988 08 19 12,12.02
3154,1988 08 20 12,0.0
3155,1988 08 21 12,0.0
3156,1988 08 22 12,12.38
3157,1988 08 23 12,0.0
3158,1988 08 24 12,0.19
3159,1988 08 25 12,2.99
3160,1988 08 26 12,0.0
3161,1988 08 27 12,0.0
3162,1988 08 28 12,0.0
3163,1988 08 29 12,0.0
3164,1988 08 30 12,14.19
3165,1988 08 31 12,15.76
3166,1988 09 01 12,10.81
3167,1988 09 02 12,6.43
3168,1988 09 03 12,13.13
3169,1988 09 04 12,70.78
3170,1988 09 05 12,16.37
3171,1988 09 06 12,0.0
3172,1988 09 07 12,0.0
3173,1988 09 08 12,0.0
3174,1988 09 09 12,0.0
3175,1988 09 10 12,27.15
3176,1988 09 11 12,5.63
3177,1988 09 12 12,17.76
3178,1988 09 13 12,0.0
3179,1988 09 14 12,0.0
3180,1988 09 15 12,0.0
3181,1988 09 16 12,13.98
3182,1988 09 17 12,23.79
3183,1988 09 18 12,0.0
3184,1988 09 19 12,0.0
3185,1988 09 20 12,0.0
3186,1988 09 21 12,0.0
3187,1988 09 22 12,0.0
3188,1988 09 23 12,0.0
3189,1988 09 24 12,0.0
3190,1988 09 25 12,0.0
3191,1988 09 26 12,0.0
3192,1988 09 27 12,0.0
3193,1988 09 28 12,0.0
3194,1988 09 29 12,0.0
3195,1988 09 30 12,43.06
3196,1988 10 01 12,46.63
3197,1988 10 02 12,15.45
3198,1988 10 03 12,11.0
3199,1988 10 04 12,0.0
3200,1988 10 05 12,0.0
3201,1988 10 06 12,0.0
3202,1988 10 07 12,0.0
3203,1988 10 08 12,0.0
3204,1988 10 09 12,0.0
3205,1988 10 10 12,0.06
3206,1988 10 11 12,0.0
3207,1988 10 12 12,0.0
3208,1988 10 13 12,0.0
3209,1988 10 14 12,0.0
3210,1988 10 15 12,0.0
3211,1988 10 16 12,0.0
3212,1988 10 17 12,0.0
3213,1988 10 18 12,0.0
3214,1988 10 19 12,0.0
3215,1988 10 20 12,0.0
3216,1988 10 21 12,0.0
3217,1988 10 22 12,0.0
3218,1988 10 23 12,0.0
3219,1988 10 24 12,0.0
3220,1988 10 25 12,0.0
3221,1988 10 26 12,0.0
3222,1988 10 27 12,7.36
3223,1988 10 28 12,0.0
3224,1988 10 29 12,9.6
3225,1988 10 30 12,0.0
3226,1988 10 31 12,0.15
3227,1988 11 01 12,1.89
3228,1988 11 02 12,0.0
3229,1988 11 03 12,0.0
3230,1988 11 04 12,5.01
3231,1988 11 05 12,0.0
3232,1988 11 06 12,0.0
3233,1988 11 07 12,0.0
3234,1988 11 08 12,0.0
3235,1988 11 09 12,0.0
3236,1988 11 10 12,0.0
3237,1988 11 11 12,8.49
3238,1988 11 12 12,0.0
3239,1988 11 13 12,16.28
3240,1988 11 14 12,0.0
3241,1988 11 15 12,0.0
3242,1988 11 16 12,6.91
3243,1988 11 17 12,0.0
3244,1988 11 18 12,0.0
3245,1988 11 19 12,7.77
3246,1988 11 20 12,15.5
3247,1988 11 21 12,0.0
3248,1988 11 22 12,0.0
3249,1988 11 23 12,0.0
3250,1988 11 24 12,0.0
3251,1988 11 25 12,0.0
3252,1988 11 26 12,0.0
3253,1988 11 27 12,40.28
3254,1988 11 28 12,0.0
3255,1988 11 29 12,0.0
3256,1988 11 30 12,0.0
3257,1988 12 01 12,0.0
3258,1988 12 02 12,0.0
3259,1988 12 03 12,0.0
3260,1988 12 04 12,0.0
3261,1988 12 05 12,0.0
3262,1988 12 06 12,0.0
3263,1988 12 07 12,0.0
3264,1988 12 08 12,0.0
3265,1988 12 09 12,0.0
3266,1988 12 10 12,13.9
3267,1988 12 11 12,48.97
3268,1988 12 12 12,7.18
3269,1988 12 13 12,0.0
3270,1988 12 14 12,0.0
3271,1988 12 15 12,0.0
3272,1988 12 16 12,7.7
3273,1988 12 17 12,0.0
3274,1988 12 18 12,0.0
3275,1988 12 19 12,0.0
3276,1988 12 20 12,0.0
3277,1988 12 21 12,0.0
3278,1988 12 22 12,0.0
3279,1988 12 23 12,46.83
3280,1988 12 24 12,18.16
3281,1988 12 25 12,4.5
3282,1988 12 26 12,0.0
3283,1988 12 27 12,0.0
3284,1988 12 28 12,4.72
3285,1988 12 29 12,0.0
3286,1988 12 30 12,0.0
3287,1988 12 31 12,0.0
3288,1989 01 01 12,22.43
3289,1989 01 02 12,0.0
3290,1989 01 03 12,0.0
3291,1989 01 04 12,0.0
3292,1989 01 05 12,0.0
3293,1989 01 06 12,0.0
3294,1989 01 07 12,0.0
3295,1989 01 08 12,0.0
3296,1989 01 09 12,3.84
3297,1989 01 10 12,10.03
3298,1989 01 11 12,7.66
3299,1989 01 12 12,1.82
3300,1989 01 13 12,5.39
3301,1989 01 14 12,18.67
3302,1989 01 15 12,16.99
3303,1989 01 16 12,0.0
3304,1989 01 17 12,0.0
3305,1989 01 18 12,9.48
3306,1989 01 19 12,13.1
3307,1989 01 20 12,16.52
3308,1989 01 21 12,0.0
3309,1989 01 22 12,0.0
3310,1989 01 23 12,0.0
3311,1989 01 24 12,0.0
3312,1989 01 25 12,0.0
3313,1989 01 26 12,0.0
3314,1989 01 27 12,0.0
3315,1989 01 28 12,0.0
3316,1989 01 29 12,0.0
3317,1989 01 30 12,0.0
3318,1989 01 31 12,0.0
3319,1989 02 01 12,0.0
3320,1989 02 02 12,0.0
3321,1989 02 03 12,0.0
3322,1989 02 04 12,0.51
3323,1989 02 05 12,1.66
3324,1989 02 06 12,1.66
3325,1989 02 07 12,6.44
3326,1989 02 08 12,0.0
3327,1989 02 09 12,0.0
3328,1989 02 10 12,0.0
3329,1989 02 11 12,0.0
3330,1989 02 12 12,0.0
3331,1989 02 13 12,0.0
3332,1989 02 14 12,0.0
3333,1989 02 15 12,0.0
3334,1989 02 16 12,0.0
3335,1989 02 17 12,0.0
3336,1989 02 18 12,0.74
3337,1989 02 19 12,0.0
3338,1989 02 20 12,0.0
3339,1989 02 21 12,32.51
3340,1989 02 22 12,0.0
3341,1989 02 23 12,0.0
3342,1989 02 24 12,0.0
3343,1989 02 25 12,0.0
3344,1989 02 26 12,0.0
3345,1989 02 27 12,0.0
3346,1989 02 28 12,7.21
3347,1989 03 01 12,0.0
3348,1989 03 02 12,16.52
3349,1989 03 03 12,9.32
3350,1989 03 04 12,0.0
3351,1989 03 05 12,17.95
3352,1989 03 06 12,1.62
3353,1989 03 07 12,0.0
3354,1989 03 08 12,0.0
3355,1989 03 09 12,0.0
3356,1989 03 10 12,0.0
3357,1989 03 11 12,0.0
3358,1989 03 12 12,0.0
3359,1989 03 13 12,0.0
3360,1989 03 14 12,0.0
3361,1989 03 15 12,0.0
3362,1989 03 16 12,0.0
3363,1989 03 17 12,0.0
3364,1989 03 18 12,0.0
3365,1989 03 19 12,0.0
3366,1989 03 20 12,0.0
3367,1989 03 21 12,10.47
3368,1989 03 22 12,22.31
3369,1989 03 23 12,35.26
3370,1989 03 24 12,0.0
3371,1989 03 25 12,0.0
3372,1989 03 26 12,0.0
3373,1989 03 27 12,0.0
3374,1989 03 28 12,0.0
3375,1989 03 29 12,0.0
3376,1989 03 30 12,86.33
3377,1989 03 31 12,0.0
3378,1989 04 01 12,0.0
3379,1989 04 02 12,0.0
3380,1989 04 03 12,0.0
3381,1989 04 04 12,0.0
3382,1989 04 05 12,13.29
3383,1989 04 06 12,0.0
3384,1989 04 07 12,0.0
3385,1989 04 08 12,0.0
3386,1989 04 09 12,0.0
3387,1989 04 10 12,5.61
3388,1989 04 11 12,0.41
3389,1989 04 12 12,0.0
3390,1989 04 13 12,0.0
3391,1989 04 14 12,0.0
3392,1989 04 15 12,4.69
3393,1989 04 16 12,0.0
3394,1989 04 17 12,0.0
3395,1989 04 18 12,0.0
3396,1989 04 19 12,0.0
3397,1989 04 20 12,0.0
3398,1989 04 21 12,0.0
3399,1989 04 22 12,0.0
3400,1989 04 23 12,0.0
3401,1989 04 24 12,0.0
3402,1989 04 25 12,0.0
3403,1989 04 26 12,0.0
3404,1989 04 27 12,0.0
3405,1989 04 28 12,4.4
3406,1989 04 29 12,21.08
3407,1989 04 30 12,19.19
3408,1989 05 01 12,12.8
3409,1989 05 02 12,0.0
3410,1989 05 03 12,0.0
3411,1989 05 04 12,0.0
3412,1989 05 05 12,50.36
3413,1989 05 06 12,0.0
3414,1989 05 07 12,0.0
3415,1989 05 08 12,0.0
3416,1989 05 09 12,0.0
3417,1989 05 10 12,0.3
3418,1989 05 11 12,1.2
3419,1989 05 12 12,0.0
3420,1989 05 13 12,0.0
3421,1989 05 14 12,4.71
3422,1989 05 15 12,0.0
3423,1989 05 16 12,4.96
3424,1989 05 17 12,1.94
3425,1989 05 18 12,0.0
3426,1989 05 19 12,47.27
3427,1989 05 20 12,0.81
3428,1989 05 21 12,14.5
3429,1989 05 22 12,0.18
3430,1989 05 23 12,0.0
3431,1989 05 24 12,0.0
3432,1989 05 25 12,0.0
3433,1989 05 26 12,0.0
3434,1989 05 27 12,0.0
3435,1989 05 28 12,0.0
3436,1989 05 29 12,0.0
3437,1989 05 30 12,0.0
3438,1989 05 31 12,0.0
3439,1989 06 01 12,0.0
3440,1989 06 02 12,6.68
3441,1989 06 03 12,7.44
3442,1989 06 04 12,11.72
3443,1989 06 05 12,12.97
3444,1989 06 06 12,23.61
3445,1989 06 07 12,0.0
3446,1989 06 08 12,30.49
3447,1989 06 09 12,0.09
3448,1989 06 10 12,0.0
3449,1989 06 11 12,6.72
3450,1989 06 12 12,0.0
3451,1989 06 13 12,0.0
3452,1989 06 14 12,0.0
3453,1989 06 15 12,30.8
3454,1989 06 16 12,0.0
3455,1989 06 17 12,0.0
3456,1989 06 18 12,0.0
3457,1989 06 19 12,11.49
3458,1989 06 20 12,1.02
3459,1989 06 21 12,0.0
3460,1989 06 22 12,7.55
3461,1989 06 23 12,0.0
3462,1989 06 24 12,11.44
3463,1989 06 25 12,7.14
3464,1989 06 26 12,0.0
3465,1989 06 27 12,0.0
3466,1989 06 28 12,12.6
3467,1989 06 29 12,16.38
3468,1989 06 30 12,20.85
3469,1989 07 01 12,12.91
3470,1989 07 02 12,16.08
3471,1989 07 03 12,15.34
3472,1989 07 04 12,21.65
3473,1989 07 05 12,13.64
3474,1989 07 06 12,2.86
3475,1989 07 07 12,15.67
3476,1989 07 08 12,4.94
3477,1989 07 09 12,0.0
3478,1989 07 10 12,5.24
3479,1989 07 11 12,2.44
3480,1989 07 12 12,0.0
3481,1989 07 13 12,0.0
3482,1989 07 14 12,12.28
3483,1989 07 15 12,16.39
3484,1989 07 16 12,8.78
3485,1989 07 17 12,9.41
3486,1989 07 18 12,0.0
3487,1989 07 19 12,0.0
3488,1989 07 20 12,1.17
3489,1989 07 21 12,0.0
3490,1989 07 22 12,1.54
3491,1989 07 23 12,7.63
3492,1989 07 24 12,6.25
3493,1989 07 25 12,7.06
3494,1989 07 26 12,6.07
3495,1989 07 27 12,3.94
3496,1989 07 28 12,1.58
3497,1989 07 29 12,0.0
3498,1989 07 30 12,0.0
3499,1989 07 31 12,0.0
3500,1989 08 01 12,23.24
3501,1989 08 02 12,36.93
3502,1989 08 03 12,0.0
3503,1989 08 04 12,0.0
3504,1989 08 05 12,0.0
3505,1989 08 06 12,0.0
3506,1989 08 07 12,22.6
3507,1989 08 08 12,26.47
3508,1989 08 09 12,0.0
3509,1989 08 10 12,0.0
3510,1989 08 11 12,0.0
3511,1989 08 12 12,0.0
3512,1989 08 13 12,0.0
3513,1989 08 14 12,0.0
3514,1989 08 15 12,0.0
3515,1989 08 16 12,0.0
3516,1989 08 17 12,0.0
3517,1989 08 18 12,0.0
3518,1989 08 19 12,0.0
3519,1989 08 20 12,0.0
3520,1989 08 21 12,0.0
3521,1989 08 22 12,0.0
3522,1989 08 23 12,2.41
3523,1989 08 24 12,0.0
3524,1989 08 25 12,0.0
3525,1989 08 26 12,0.0
3526,1989 08 27 12,0.0
3527,1989 08 28 12,12.27
3528,1989 08 29 12,12.66
3529,1989 08 30 12,0.0
3530,1989 08 31 12,0.0
3531,1989 09 01 12,0.0
3532,1989 09 02 12,0.0
3533,1989 09 03 12,0.0
3534,1989 09 04 12,0.0
3535,1989 09 05 12,0.5
3536,1989 09 06 12,5.74
3537,1989 09 07 12,0.0
3538,1989 09 08 12,0.0
3539,1989 09 09 12,0.0
3540,1989 09 10 12,0.0
3541,1989 09 11 12,16.97
3542,1989 09 12 12,12.13
3543,1989 09 13 12,0.0
3544,1989 09 14 12,0.0
3545,1989 09 15 12,13.93
3546,1989 09 16 12,0.0
3547,1989 09 17 12,0.0
3548,1989 09 18 12,0.0
3549,1989 09 19 12,0.0
3550,1989 09 20 12,0.0
3551,1989 09 21 12,0.0
3552,1989 09 22 12,0.0
3553,1989 09 23 12,0.0
3554,1989 09 24 12,0.0
3555,1989 09 25 12,3.1
3556,1989 09 26 12,0.0
3557,1989 09 27 12,0.0
3558,1989 09 28 12,1.87
3559,1989 09 29 12,31.05
3560,1989 09 30 12,25.61
3561,1989 10 01 12,0.0
3562,1989 10 02 12,0.0
3563,1989 10 03 12,0.0
3564,1989 10 04 12,0.0
3565,1989 10 05 12,0.0
3566,1989 10 06 12,0.0
3567,1989 10 07 12,0.0
3568,1989 10 08 12,12.17
3569,1989 10 09 12,0.0
3570,1989 10 10 12,0.0
3571,1989 10 11 12,0.0
3572,1989 10 12 12,0.0
3573,1989 10 13 12,0.0
3574,1989 10 14 12,0.0
3575,1989 10 15 12,2.33
3576,1989 10 16 12,2.0
3577,1989 10 17 12,13.57
3578,1989 10 18 12,0.0
3579,1989 10 19 12,0.0
3580,1989 10 20 12,0.0
3581,1989 10 21 12,0.0
3582,1989 10 22 12,0.0
3583,1989 10 23 12,0.0
3584,1989 10 24 12,0.0
3585,1989 10 25 12,0.0
3586,1989 10 26 12,0.0
3587,1989 10 27 12,0.0
3588,1989 10 28 12,0.0
3589,1989 10 29 12,0.0
3590,1989 10 30 12,0.0
3591,1989 10 31 12,0.0
3592,1989 11 01 12,0.0
3593,1989 11 02 12,17.34
3594,1989 11 03 12,0.0
3595,1989 11 04 12,0.0
3596,1989 11 05 12,0.0
3597,1989 11 06 12,0.0
3598,1989 11 07 12,28.16
3599,1989 11 08 12,46.8
3600,1989 11 09 12,15.63
3601,1989 11 10 12,0.0
3602,1989 11 11 12,0.0
3603,1989 11 12 12,0.0
3604,1989 11 13 12,0.0
3605,1989 11 14 12,34.6
3606,1989 11 15 12,16.43
3607,1989 11 16 12,27.06
3608,1989 11 17 12,0.0
3609,1989 11 18 12,0.0
3610,1989 11 19 12,0.0
3611,1989 11 20 12,0.0
3612,1989 11 21 12,0.0
3613,1989 11 22 12,0.0
3614,1989 11 23 12,22.65
3615,1989 11 24 12,0.0
3616,1989 11 25 12,0.0
3617,1989 11 26 12,0.0
3618,1989 11 27 12,0.0
3619,1989 11 28 12,11.0
3620,1989 11 29 12,0.0
3621,1989 11 30 12,0.0
3622,1989 12 01 12,0.0
3623,1989 12 02 12,0.0
3624,1989 12 03 12,0.0
3625,1989 12 04 12,0.0
3626,1989 12 05 12,0.0
3627,1989 12 06 12,0.0
3628,1989 12 07 12,47.47
3629,1989 12 08 12,36.98
3630,1989 12 09 12,2.08
3631,1989 12 10 12,0.0
3632,1989 12 11 12,0.0
3633,1989 12 12 12,20.71
3634,1989 12 13 12,0.0
3635,1989 12 14 12,0.0
3636,1989 12 15 12,2.02
3637,1989 12 16 12,0.0
3638,1989 12 17 12,0.0
3639,1989 12 18 12,3.43
3640,1989 12 19 12,11.75
3641,1989 12 20 12,0.63
3642,1989 12 21 12,0.0
3643,1989 12 22 12,0.0
3644,1989 12 23 12,0.0
3645,1989 12 24 12,0.0
3646,1989 12 25 12,0.0
3647,1989 12 26 12,0.0
3648,1989 12 27 12,0.0
3649,1989 12 28 12,0.0
3650,1989 12 29 12,13.94
3651,1989 12 30 12,11.93
3652,1989 12 31 12,40.34
3653,1990 01 01 12,2.16
3654,1990 01 02 12,0.0
3655,1990 01 03 12,0.0
3656,1990 01 04 12,17.15
3657,1990 01 05 12,13.61
3658,1990 01 06 12,16.16
3659,1990 01 07 12,26.15
3660,1990 01 08 12,9.26
3661,1990 01 09 12,0.0
3662,1990 01 10 12,0.0
3663,1990 01 11 12,0.0
3664,1990 01 12 12,0.0
3665,1990 01 13 12,0.0
3666,1990 01 14 12,0.0
3667,1990 01 15 12,0.0
3668,1990 01 16 12,0.0
3669,1990 01 17 12,3.4
3670,1990 01 18 12,23.61
3671,1990 01 19 12,18.85
3672,1990 01 20 12,10.34
3673,1990 01 21 12,19.19
3674,1990 01 22 12,0.0
3675,1990 01 23 12,0.0
3676,1990 01 24 12,28.15
3677,1990 01 25 12,57.53
3678,1990 01 26 12,0.0
3679,1990 01 27 12,0.0
3680,1990 01 28 12,0.0
3681,1990 01 29 12,20.59
3682,1990 01 30 12,0.0
3683,1990 01 31 12,0.0
3684,1990 02 01 12,0.0
3685,1990 02 02 12,0.0
3686,1990 02 03 12,7.6
3687,1990 02 04 12,27.96
3688,1990 02 05 12,0.0
3689,1990 02 06 12,0.54
3690,1990 02 07 12,7.15
3691,1990 02 08 12,8.94
3692,1990 02 09 12,11.56
3693,1990 02 10 12,31.65
3694,1990 02 11 12,0.0
3695,1990 02 12 12,0.0
3696,1990 02 13 12,0.0
3697,1990 02 14 12,0.0
3698,1990 02 15 12,22.95
3699,1990 02 16 12,28.09
3700,1990 02 17 12,3.66
3701,1990 02 18 12,17.03
3702,1990 02 19 12,39.58
3703,1990 02 20 12,2.39
3704,1990 02 21 12,0.0
3705,1990 02 22 12,58.98
3706,1990 02 23 12,0.0
3707,1990 02 24 12,0.0
3708,1990 02 25 12,0.0
3709,1990 02 26 12,0.0
3710,1990 02 27 12,0.0
3711,1990 02 28 12,0.0
3712,1990 03 01 12,0.0
3713,1990 03 02 12,48.58
3714,1990 03 03 12,0.0
